Library,Commit,API,Advisory Link,Bug category,Front-end Root Cause Explanation,Backend root cause,Impact L1,Impact L2,Impact L3,Fix Description,Good file Name
Tensorflow,https://github.com/tensorflow/tensorflow/commit/32d7bd3defd134f21a4e344c8dfd40099aaf6b18,tf.raw_ops.MaxPool,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-j43h-pgmg-5hjq,Improper Input Validation,"When MaxPool receives a window size input array ksize with dimensions greater than its input tensor input, the GPU kernel gives a CHECK fail that can be used to trigger a denial of service attack.","If the filter size exceeds the input size by one for `VALID` padding, return an empty tensor. This is consistent with XLA.",N.A,check failure,Denial of service,Add check to make sure that the number of tensor elements is not zero,tensorflow/core/kernels/maxpooling_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/c55b476aa0e0bd4ee99d0f3ad18d9d706cd1260a,tf.linalg.matrix_rank,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9vqj-64pv-w55c,Improper Input Validation,"When tf.linalg.matrix_rank receives an empty input a, the GPU kernel gives a CHECK fail that can be used to trigger a denial of service attack.","If there are zero batches, the GPU kernel previously failed with a `work_element_count > 0` check failure.",N.A,check failure,Denial of service,"In the zero batch case, there is no output, so simply return.",tensorflow/core/kernels/linalg/svd_op_gpu.cu.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bf4c14353c2328636a18bfad1e151052c81d5f43,tf.raw_ops.DenseBincount,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-w62h-8xjm-fv49,Improper Input Validation,DenseBincount assumes its input tensor weights to either have the same shape as its input tensor input or to be length-0. A different weights shape will trigger a CHECK fail that can be used to trigger a denial of service attack.,Lack of checking if weights` must be the same shape as `arr` or a length-0,N.A,check failure,Denial of service, checking if weights` must be the same shape as `arr` or a length-0,tensorflow/core/kernels/bincount_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/7a4591fd4f065f4fa903593bc39b2f79530a74b8,tf.raw_ops.RaggedBincount,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wr9v-g9vf-c74v,Improper Input Validation,"If RaggedBincount is given an empty input tensor splits, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking Splits must be non-empty,N.A,segfault,Denial of service,Fix RaggedBincount Segmentation Fault from the Splits arg ,tensorflow/core/kernels/bincount_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/bd90b3efab4ec958b228cd7cfe9125be1c0cf255,tf.raw_ops.LRNGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9942-r22v-78cp,Improper Input Validation,"If LRNGrad is given an output_image input tensor that is not 4-D, it results in a CHECK fail that can be used to trigger a denial of service attack.",Lack of Check if dimensions of tensors match,N.A,check failure,Denial of service,Check if dimensions of tensors match,tensorflow/core/kernels/lrn_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/72180be03447a10810edca700cbc9af690dfeb51,tf.raw_ops.ParameterizedTruncatedNormal,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-p2xf-8hgm-hpw5,Data Type Issue,ParameterizedTruncatedNormal assumes shape is of type int32. A valid shape of type int64 results in a mismatched type CHECK fail that can be used to trigger a denial of service attack.,The original made the assumption that the dtype is int32 when it could also be int64 - leading to a crash due to mismatched type.,N.A,check failure,Denial of service,Resolve type mismatch,tensorflow/core/kernels/parameterized_truncated_normal_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/5dd7b86b84a864b834c6fa3d7f9f51c87efa99d4,tf.raw_ops.Save,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6vp-8q9j-whx4,Data Type Issue,"If Save or SaveSlices is run over tensors of an unsupported dtype, it results in a CHECK fail that can be used to trigger a denial of service attack.",Unsupported data type,N.A,check failure,Denial of service,Check that given dtype is supported and emit a descriptive error if not.,tensorflow/core/util/tensor_slice_writer.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/5dd7b86b84a864b834c6fa3d7f9f51c87efa99d4,f.raw_ops.SaveSlices,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6vp-8q9j-whx4,Data Type Issue,"If Save or SaveSlices is run over tensors of an unsupported dtype, it results in a CHECK fail that can be used to trigger a denial of service attack.",Unsupported data type,N.A,check failure,Denial of service,Check that given dtype is supported and emit a descriptive error if not.,tensorflow/core/util/tensor_slice_writer.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/40adbe4dd15b582b0210dfbf40c243a62f5119fa,tf.raw_ops.SparseBincount,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-397c-5g2j-qxpv,Improper Input Validation,"If SparseBincount is given inputs for indices, values, and dense_shape that do not make a valid sparse tensor, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking for size must be non-negative,N.A,segfault,Denial of service,Add sparse tensor validation to SparseBincountOp. ,tensorflow/core/kernels/bincount_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/88f93dfe691563baa4ae1e80ccde2d5c7a143821,tf.raw_ops.RaggedTensorToVariant,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-m6cv-4fmf-66xf,Improper Input Validation,"If RaggedTensorToVariant is given a rt_nested_splits list that contains tensors of ranks other than one, it results in a CHECK fail that can be used to trigger a denial of service attack.",lack of checking if `row_splits` must have rank 1.,N.A,check failure,Denial of service,add check to `row_splits` must have rank 1.,tensorflow/core/kernels/ragged_tensor_to_variant_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/8741e57d163a079db05a7107a7609af70931def4,tf.raw_ops.FractionalMaxPoolGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vxv8-r8q2-63xw,Improper Input Validation,"FractionalMaxPoolGrad validates its inputs with CHECK failures instead of with returning errors. If it gets incorrectly sized inputs, the CHECK failure can be used to trigger a denial of service attack:",Lack of checking tensor_out_dup is not the same as tensor_out,N.A,check failure,Denial of service,Update checker to tensor_out_dup is not the same as tensor_out,tensorflow/core/kernels/fractional_max_pool_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops.QuantizedRelu,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v7vw-577f-vp8x,Improper Input Validation,"If QuantizedRelu or QuantizedRelu6 are given nonscalar inputs for min_features or max_features, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking if IsScalar (rank == 0) to min/max input tensors for Quantized Add/Relu/Relu6 op.,N.A,segfault,Denial of service,Add IsScalar (rank == 0) check to min/max input tensors for Quantized Add/Relu/Relu6 op.,tensorflow/core/kernels/quantized_activation_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/49b3824d83af706df0ad07e4e677d88659756d89,tf.raw_ops.QuantizedRelu6,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-v7vw-577f-vp8x,Improper Input Validation,"If QuantizedRelu or QuantizedRelu6 are given nonscalar inputs for min_features or max_features, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking if IsScalar (rank == 0) to min/max input tensors for Quantized Add/Relu/Relu6 op.,N.A,segfault,Denial of service,Add IsScalar (rank == 0) check to min/max input tensors for Quantized Add/Relu/Relu6 op.,tensorflow/core/kernels/quantized_activation_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/73ad1815ebcfeb7c051f9c2f7ab5024380ca8613,tf.raw_ops.QuantizeDownAndShrinkRange,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-vgvh-2pf4-jr2x,Improper Input Validation,"If QuantizeDownAndShrinkRange is given nonscalar inputs for input_min or input_max, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking if input_min` must be rank 0 but is rank,N.A,segfault,Denial of service, Add IsScalar (rank == 0) check to input_min/max tensors for QuantizeD ownAndShrinkRangeOp.,tensorflow/core/kernels/quantize_down_and_shrink_range.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/aca766ac7693bf29ed0df55ad6bfcc78f35e7f48,tf.raw_ops.QuantizedMatMul,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-689c-r7h2-fv9v,Improper Input Validation," If QuantizedMatMul is given nonscalar input for: min_a, max_a, min_b, max_b It gives a segfault that can be used to trigger a denial of service attack.",Lack of checking that the input values must be scalar,N.A,segfault,Denial of service, Fix tf.raw_ops. QuantizedMatMul vulnerability from non scalar min/max a/b arguments.,tensorflow/core/kernels/quantized_matmul_op.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops.FakeQuantWithMinMaxVarsPerChannel,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9j4v-pp28-mxv7,Improper Input Validation,"If FakeQuantWithMinMaxVarsPerChannel is given min or max tensors of a rank other than one, it results in a CHECK fail that can be used to trigger a denial of service attack.",Lack of checking the rank of input tensors,N.A,check failure,Denial of service, Fix quantize ops input validation issues. The majority of these are just missing checks on min/max.,tensorflow/core/kernels/fake_quant_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops.QuantizedBiasAdd,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-4pc4-m9mj-v2r9,Improper Input Validation,"If QuantizedBiasAdd is given min_input, max_input, min_bias, max_bias tensors of a nonzero rank, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking the rank of input tensors,N.A,check failure,Denial of service, Fix quantize ops input validation issues. The majority of these are just missing checks on min/max.,tensorflow/core/kernels/fake_quant_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops.Requantize,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-wqmc-pm8c-2jhc,Improper Input Validation,"If Requantize is given input_min, input_max, requested_output_min, requested_output_max tensors of a nonzero rank, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking the rank of input tensors,N.A,check failure,Denial of service, Fix quantize ops input validation issues. The majority of these are just missing checks on min/max.,tensorflow/core/kernels/fake_quant_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops.FakeQuantWithMinMaxVars,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-9fpg-838v-wpv7,Improper Input Validation,"If FakeQuantWithMinMaxVars is given min or max tensors of a nonzero rank, it results in a CHECK fail that can be used to trigger a denial of service attack.",Lack of checking the rank of input tensors,N.A,check failure,Denial of service, Fix quantize ops input validation issues. The majority of these are just missing checks on min/max.,tensorflow/core/kernels/fake_quant_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/785d67a78a1d533759fcd2f5e8d6ef778de849e0,tf.raw_ops.QuantizedInstanceNorm,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-g35r-369w-3fqp,Improper Input Validation,"If QuantizedInstanceNorm is given x_min or x_max tensors of a nonzero rank, it results in a segfault that can be used to trigger a denial of service attack.",Lack of checking the rank of input tensors,N.A,check failure,Denial of service, Fix quantize ops input validation issues. The majority of these are just missing checks on min/max.,tensorflow/core/kernels/fake_quant_ops.cc
Tensorflow,https://github.com/tensorflow/tensorflow/commit/50156d547b9a1da0144d7babe665cf690305b33c,tf.raw_ops.Conv2DBackpropInput,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-q2c3-jpmc-gfjx,Improper Input Validation,"The implementation of Conv2DBackpropInput requires input_sizes to be 4-dimensional. Otherwise, it gives a CHECK failure which can be used to trigger a denial of service attack:",Lack of checking if the tensor is 4 dimensional,N.A,check failure,Denial of service,Add checker to make sure input_sizes must be 4-dimensional,tensorflow/core/kernels/conv_grad_input_ops.h
Tensorflow,https://github.com/tensorflow/tensorflow/commit/3a6ac52664c6c095aa2b114e742b0aa17fdce78f,tf.raw_ops.AvgPoolGrad,https://github.com/tensorflow/tensorflow/security/advisories/GHSA-2475-53vw-vp25,Improper Input Validation,The implementation of AvgPoolGrad does not fully validate the input orig_input_shape. This results in a CHECK failure which can be used to trigger a denial of service attack:,The implementation of AvgPoolGrad does not fully validate the input orig_input_shape. This results in a CHECK failure which can be used to trigger a denial of service attack:,N.A,check failure,Denial of service,fully validate the input received from frontend,tensorflow/core/kernels/avgpooling_op.cc
