Library,Commit,bug report,Date,PR/Issue,Violation,Root Cause,Impact,Action,condition,Fixing pattern,Fixing element,,,
pytorch,https://github.com/pytorch/pytorch/commit/bde7b81f34925491fbcbb9e355697eb594e36923,"Back out ""[PyTorch] Don't do extra numel() check in TensorImpl::data()",2023-05-08 17:56:44,,improper,null pointer dereference,incorrect functionality,update,if checker,object is not null,,,,
pytorch,https://github.com/pytorch/pytorch/commit/2e224d62b6afecc78d885d0a4e160354950f6424,"We have environment variable USE_CUDNN with self-explanatory name. However cpp code is compiled based on cpp macro definition AT_CUDNN_ENABLED, even if USE_CUDNN is set to 0, cpp is compiled with cuDNN if cmake finds cuDNN in the system.",2019-08-27 21:43:11,,missing,device availability,incorrect functionality,add,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/30e1c74dc19ae2b622b46ebcdb7972c42775ac80,Update cuda amp to also check xla device ,2021-08-18 9:44:10,,improper,device availability,incorrect functionality,update,if checker,device is available,xla,,,
pytorch,https://github.com/pytorch/pytorch/commit/5a63c452e638dad8e077887ad8d2c94ff0e23917,This is because there are some hard-to-detect edge cases that will throw exceptions with cudnn 8.0.5 on Nvidia A40 GPU.,2021-01-08 0:20:21,,missing,device availability,crash,add,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/611080a118fff166c85f3200d860f3b059abac6f,uda 11.0.x doesn't support sm86.,2020-11-06 13:34:25,2,improper,device version,version incompatibility,update,if checker,device version is valid,CUDA,,,
pytorch,https://github.com/pytorch/pytorch/commit/563bbeb8905f4cea0bc5353dc12518c61113128e,undefined CUDA_VERSION warning,2020-05-05 19:31:24,1,insufficient,device version,version incompatibility,extend,if checker,device version is valid,CUDA,,,
pytorch,https://github.com/pytorch/pytorch/commit/5b51ca6808191e9f3dcea1d43fa731488cc688bb,Update CUDA compiler matrix. Switch GCC/Clang max versions to be exclusive as the `include/crt/host_config.h` checks the major version only for the upper bound. This allows to be less restrictive and match the checks in the aforementioned header. Also update the versions using that header in the CUDA SDKs.,2022-11-22 22:07:22,,improper,device version,version incompatibility,update,if checker,device version is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/cafd0f33042f5344a27ccde33b352eab676a0bdd,"Fix array index checking in mobile interpreter. Stop using non-portable out-of-range indexing in mobile interpreter, also change code types indexing to use vector.at() to catch out-of-range bugs earlier.",2022-02-24 14:39:32,1,improper,out of bound access,crash,update,checker api,tensor indexing is within range,array access,,,
pytorch,https://github.com/pytorch/pytorch/commit/8198474eb763c8d526ede3418211479c2f4cbd30,"Previous to this PR, we only checked TorchScript nodes for scope compatibility, skipping their parent's scope reference check.",2023-11-02 15:31:32,1,missing,computation graph,incorrect functionality,add,checker api,nodes in computation graph,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/37dea0454dd310cfe443859f717862657df6b753,add checking for number of args checking observer in same graph,2022-04-07 23:56:03,1,missing,computation graph,incorrect functionality,add,if checker,input argument is valid,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/7fbdc86aecd6fddb3d309a1d655efbf51e840139,Removed a local function to check for dominators and used the one added to Node class,2021-07-20 22:29:58,1,unnecessary,computation graph,performance bug,remove,checker api,nodes in computation graph,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/bdbd3ed312e0fc81e75302239ea78b3445fe95e7,"Although `len(compiler.captured_graphs)` is 2, no error was thrown during the compilation. This observation conflicts with `nopython=True`. After some digging, I found a check is missed before making graph break. This PR adds it.",2023-01-18 19:59:33,,insufficient,computation graph,crash,extend,if checker,others,computation graph,,,
pytorch,https://github.com/pytorch/pytorch/commit/7e9bf2ed860b8b60d252eead4cc457c3fe5f1667,"Although `len(compiler.captured_graphs)` is 2, no error was thrown during the compilation. This observation conflicts with `nopython=True`. After some digging, I found a check is missed before making graph break. This PR adds it.",2022-12-19 18:43:28,,insufficient,computation graph,crash,extend,if checker,others,computation graph,,,‍
pytorch,https://github.com/pytorch/pytorch/commit/9234f5026dbaf09a41b82bb6cf5f10ad4eeb03f2,"at::cuda::CUDAEvent is ""lazy"" and only creates an event when it's first recorded. Until then, at::cuda::CUDAEvent is empty. If we use at::cuda::CUDAEvent::query() this is taken into account (an empty event is always ready), but WorkNCCL extracts the raw cudaEvent_t value from at::cuda::CUDAEvent and calls cudaEventQuery manually and doesn't check this. This could cause a failure. It's unclear if this is ever supposed to happen, but we're seeing that failure, and we want to sort it out in order to see if there's something ""deeper"" going on.",2020-12-15 6:15:48,1,improper,device availability,others,update,if checker,device is available,cuda device,,,
pytorch,https://github.com/pytorch/pytorch/commit/04db1b874ff4fe902af3dd7540159645309490a7,"We only need to update locations where we actually check `shuffle` for identity with a boolean value, i.e. `shuffle is False`. For bool-ish checks like `if shuffle:`, `None` behaves just like `False`. `IterDataPipe`'s are currently not mentioned in the docstring. Since this change only applies to them, I didn't update it. LMK, if I should do that.",2022-04-12 14:26:33,2,missing,edge cases,incorrect functionality,add,if checker,others,Frontend parameter,,,
pytorch,https://github.com/pytorch/pytorch/commit/e9c1ccee2247a7746fde202067a7d47b72809968,Bug fix: allow std 0 in the meta definition of normal_. All other `normal` variants allow 0.  Looks like a mistake made while copying the check. ,2022-03-01 18:28:14,2,improper,edge cases,runtime error,update,macro checker,input argument is valid,integer argument,,,
pytorch,https://github.com/pytorch/pytorch/commit/c99277e177cf16736262251c7e92ea5e9ba2c5c2," handle the case in acc_ops.sum when dim == 0, differentiating it from the case when dim is None. handle the case in acc_ops.sum when dim == 0, differentiating it from the case when dim is None",2021-09-13 17:24:16,,improper,edge cases,crash,update,if checker,tensor dimension is valid,none dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/d72db37c4a6513c0f67f6f69870c9c45bf4880e6,"In file: combinatorics.py, the comparison of Collection length creates a logical short circuit. if isinstance(self.sampler, Sized) and len(self.sampler) >= 0: Here, the right side of the comparison will always return true. I suggested that the Collection length check should be removed since this is redundant.",2023-01-31 11:45:32,,unnecessary,edge cases,incorrect functionality,remove,if checker,others,sampler,,,
pytorch,https://github.com/pytorch/pytorch/commit/37008940999a41aedf3d7e77c86167c8e4852d7a,I moved the `torch.empty` call after the conditional so that we don't need to check whether `flat_param.grad` is None,2023-11-13 14:04:24,1,improper,edge cases,numerical error,relocate,checker api,tensor is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/c170d395de8ca441d3bedb20c9e45beb666f216c,Only check for xnnpack if torch installed. Fixes a bug where collect_env.py was not able to be run without having torch installed,2022-03-17 11:31:26,,missing,others,version incompatibility,add,if checker,others,pytorch installation,,,
pytorch,https://github.com/pytorch/pytorch/commit/65faf1a7eb07129d8b1f017fac341e178620dabd,Add version check for ProfilingVerbosity bulider config,2021-12-30 22:59:25,,missing,others,version incompatibility,add,if checker,others,ProfilingVerbosity,,,
pytorch,https://github.com/pytorch/pytorch/commit/6a1147d0596d49e7c2c8f4894484ffcd322f612d,"The current check that we have for dummy packages is too expansive; it will skip anything without a `__file__`, including extension modules in the standard library. So first check if a module was created by torch.package before skipping it, which should rule out anything accidentally getting skipped (as the only time torch.package creates something without a `__file__` is the dummy case).",2022-02-08 20:23:22,,improper,others,performance bug,replace,checker api,others,pytorch module,,,
pytorch,https://github.com/pytorch/pytorch/commit/6c98d904c09b69f1e7748cf3d80e2193df5fff63,"handle the case of -0.0 on tanh quantization.  this fix makes fakelowp identical to hw - mask out the floating point number with 0x7fff so we are always dealing with positive numbers - dsp implementation is correct, ice-ref suffers from this same problem",2020-09-10 4:18:45,1,improper,edge cases,inconsistent results,update,if checker,input argument is valid,Frontend parameter,,,
pytorch,https://github.com/pytorch/pytorch/commit/5fdddbbfe8ef17b2c81ed34a48f3b963944aa4c3,Fix checking of current mode in PyOperator dispatch,2023-01-18 18:08:36,1,improper,type checking,incorrect functionality,update,type checking api,object type is valid,dipatch mode,,,
pytorch,https://github.com/pytorch/pytorch/commit/c7c711bfb88fcb0ef573125a5a8655c49156055b,Adds optional tensor arguments to check handling torch function checks. The only one I didn't do this for in the functional file was `multi_head_attention_forward` since that already took care of some optional tensor arguments but not others so it seemed like arguments were specifically chosen,2021-08-30 22:21:26,2,missing,others,inconsistent results,add,checker api,others,optional tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/db6e0c7c0eb56ac45af2b9c1e70d081b6bee83ee,"Check if we are on Windows using `sys.platform` rather than `platform.system()`.  Even though `platform.system()` is more modern, it has a few downsides: this performs a runtime check of the platform type, which has non-zero overhead.  On Linux it actually executes the separate `/bin/uname` process.  On the other hand `sys.platform` is determined when the Python interpreter is compiled, so this is a simple hard-coded string. Because it is a runtime check, `platform.system()` checks also cannot be analyzed by static type checkers like Pyre and Mypy.  These type checkers do understand `sys.platform` checks, and can correctly avoid complaining about code paths that use platform-specific modules and functions.  e.g., they can avoid complaining about `ctypes.WinDLL` not existing on Linux if its use is guarded by a `sys.platform` check. ghstack-source-id: ",2021-02-11 23:09:14,,improper,platform compability,version incompatibility,update,if checker,others,windows,,,
pytorch,https://github.com/pytorch/pytorch/commit/6fde0cb507d59d2a9168f3051feba6865e9d1048,"THTensor_(newContiguous) always increments the refcount. It may return the same pointer if the tensor is always contiguous. Since we added the check for zero strides, it may be called when the tensor is already contiguous. We need to make sure that THTensor_(free) is always called in this case.",2017-11-07 12:47:13,1,missing,others,performance bug,add,if checker,others,tensor memory,,,
pytorch,https://github.com/pytorch/pytorch/commit/0c0c9e743e82b398435ed07719e998aa15ac1ce1,Fix dimensions check ,2017-10-20 13:28:01,1,improper,tensor shape mismatch,crash,replace,macro checker,tensor dimension is valid,tensor axis,,,
pytorch,https://github.com/pytorch/pytorch/commit/4d0fbb0e6f578bea14f3f52b0a927bcc20f8b109,"when adding a new axis to concatenate along, allow it to be the last axis. For example, concated 1D columns into a 2D matrix with axis=1, add_axis=1.",2017-08-17 16:03:18,0,improper,tensor shape mismatch,inconsistent results,update,macro checker,axis parameter matches tensor dimension,tensor axis,,,
pytorch,https://github.com/pytorch/pytorch/commit/b2d110447190abe5d66b0b59a775cc4881f3e30e,Fixed numpy bool check,2022-05-23 11:42:16,,improper,tensor shape mismatch,crash,update,if checker,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/85cbe0d8258ab06897e2f049e61f74d8aa935240,This diff is similar to D14163001. We need to handle the edge case when add_axis=1.,2019-06-24 13:32:48,,missing,tensor shape mismatch,crash,add,macro checker,axis parameter matches tensor dimension,,,,
pytorch,https://github.com/pytorch/pytorch/commit/4b45f08f8765549915417997c30ae8981f2ad125,The issue was related to not checking the dimensions of source vs destination tensors.,2019-06-13 16:15:23,,missing,tensor shape mismatch,crash,add,if checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/4f63f348aef3da8b4d53f61098f4e32bd916c221,The bounds check was too conservative by an extra one.,2018-01-29 14:53:03,,improper,tensor shape mismatch,crash,update,if checker,axis parameter matches tensor dimension,,,,
pytorch,https://github.com/pytorch/pytorch/commit/bf32ea80942ce720b105efcd517fd11182edeb08," Fix dimension check in 1D instance norm, allowing 2D tensors alongsid e 3D.",2018-07-27 12:24:07,,insufficient,tensor shape mismatch,crash,extend,if checker,tensor dimension is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/036a159fb9c064877e32949b72c8f605fb358d5b,I went through every occurrence of AT_ASSERT in this file and thought about whether or not it should be TORCH_INTERNAL_ASSERT or TORCH_CHECK.  I think I did a good job at it. ,2019-05-20 12:54:37,1,improper,tensor shape mismatch,crash,replace,macro checker,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/a9deda5469a6ef73692a9dd796cc4eeba4436d6c,The at::native::_validate_sparse_coo_tensor_args only supports checking the indices on CUDA device and CPU device. To extend the function to support more device type.,2022-04-25 20:56:10,1,improper,device availability,crash,replace,if checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/d9870d70c12dc59b0f8bce288910422bcb60b044,Exempt _foreach_norm from autograd_not_implemented_fallback check,2023-02-03 14:45:46,,insufficient,tensor operations,crash,extend,if checker,tensor operations are valid,autograd,,,
pytorch,https://github.com/pytorch/pytorch/commit/98f9ff90268ae62ab6d794cce0786121bf17edc9,"Fix an assertion failure involving Slice. Before this change, exporting a model to ONNX involving Slice crashes at `axes[i]` in line 153 if C++ assertions are enabled:",2022-02-18 13:41:47,1,improper,tensor shape mismatch,others,replace,checker api,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/b05c34259b5e3ff9b55fba5a24d7c5f2f2036471,relax size check in flatten_for_scatter_gather,2020-06-25 18:16:37,1,improper,tensor shape mismatch,unknown,replace,checker api,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/71af538e31547e5b1bc814c9e00323a21905baf3,Updated assert to remove check on 3rd dim for MHA.  Updated assert statement to remove check on 3rd dimension (features) for keys and values in MultiheadAttention / Transform. The feature dimension for keys and values can now be of different sizes,2020-06-02 16:35:39,2,insufficient,tensor shape mismatch,inconsistent results,extend,assertion statement,tensor size is valid,tensor size,,,
pytorch,https://github.com/pytorch/pytorch/commit/b8ab3080b1043a610ba2825a2be406a1833b1d70,"If kernel sizes were specified via ""kernel_w"" and ""kernel_h"", tensor size inference was incorrect in InferShapesAndTypes(): it was checking for ""helper_w"" instead of ""kernel_w"".",2017-09-21 17:50:43,0,improper,others,incorrect functionality,update,if checker,input argument is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/be253b8ee8a104997773d11ed28928a48193217d,The existing check isn't safe for 32-bit `size_t` because the max 64-bit int will overflow.,2022-03-01 1:31:52,,improper,tensor shape mismatch,numerical error,update,checker api,tensor size is valid,integer variable,,,
pytorch,https://github.com/pytorch/pytorch/commit/128dd6b1502ad3687ffb79484b72d4cfafec496e,"Relax the check that makes sure number of outs equals number of returns. We are trying to add an out variant for an existing operator, Notice the out argument is a mutable list of tensors. Given the fact that we don't support mutable tensor list as a return type and it seems not useful to add such a return type. The solution I'm proposing is to relax the constraint that the number of outs needs to be the same as the number of returns, so we can return a `void`.",2022-04-20 19:10:41,,insufficient,out of bound access,crash,extend,assertion statement,output and input tensors has same size,parameter,,,
pytorch,https://github.com/pytorch/pytorch/commit/993d8bb77e1ce79940705b1c7667dc9276f449df,"Use size to check same tensor sizes in reduce_scatter and allgather. Previous code uses tensor.numel() to check if all tensors have the same size in order to switch between reduce_scatter_v v.s. reduce_scatter, same applies to allgather. However, if the user input tensor is zero in the last dimension (e.g., [648632,0]), then numel() returns zero and check_same_numel is always true. This patch fixes the check to use size rather than numel, to cover the above case.",2022-08-26 1:45:59,,improper,tensor shape mismatch,incorrect functionality,replace,type checking api,tensor size is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/363d5300356e17e7e9eb92381a4cf8a932fca3e0," Fix decision logic for should_cast_forward_inputs in `_root_pre_for ward()` and `_pre_forward()`. There is currently no topological constraint dictating FSDP instances own ``FlatParamHandle`` s directly. If all parameters are managed by descendant FSDP instances leaving an FSDP instance with no direct ``state._handles``, the  ``should_cast_forward_inputs`` decisions below in both ``_root_pre_forward()`` and ``_pre_forward()`` respectively can return incorrect decisions [^1]. In this PR, I amend the two decision statements referenced above (in both `_root_pre_forward()` and `_pre_forward()`) to account for FSDP instances without direct handles. If one configures ``MixedPrecision`` in the example above with ``cast_forward_inputs=True`` and the ``should_cast_forward_inputs`` adjustment above, FSDP returns to the expected behavior and produces no error. Though the check is the same in both ``_root_pre_forward()`` and ``_pre_forward()`` and hence could be refactored into a separate function, I figured it may make sense to retain separate statements to preserve the ability for root-specific behavior in the future. Whichever approach the team prefers I can update this PR with.",2023-04-21 18:49:50,,insufficient,edge cases,incorrect functionality,extend,if checker,object is not empty,,,,
pytorch,https://github.com/pytorch/pytorch/commit/9c3cb6e652e6033e355cef92229fde5b0baf271b,"Fix stride checks in gemm dispatch.  lda: ""When transa = 'N' or 'n', then lda must be at least max(1, m), otherwise lda must be at least max(1, k). When transb = 'N' or 'n', then ldb must be at least max(1, k), otherwise ldb must be at least max(1, n).",2017-11-08 9:55:25,1,improper,tensor shape mismatch,inconsistent results,update,if checker,tensor dimension is valid,tensor stride,,,
pytorch,https://github.com/pytorch/pytorch/commit/7f125bca1cd42ebd8e07c97f1bd1682dff5cf387,Add pin_memory check in empty_strided. Add the false checking if pin_memory has been specified to `False`,2020-11-02 17:00:12,1,insufficient,tensor shape mismatch,crash,extend,if checker,tensor dimension is valid,tensor stride,,,
pytorch,https://github.com/pytorch/pytorch/commit/f02b7a9c36dd6182da694bc47a5c345285dfd951,"don't error when unused fill value is zero. In the python version of `F.pad`, checking that the fill value was left as default was done by comparing against zero. So if someone does explicitly pass in a zero-value, then this `TORCH_CHECK` was an accidental BC-break.",2022-04-26 9:07:56,,improper,edge cases,crash,update,macro checker,tensor is not empty,tensor value,,,
pytorch,https://github.com/pytorch/pytorch/commit/4839f73f329b38819e6f69a8662d61dc36558e52,"Fix incorrect tensor storage check. These fixes were run through the DirectML test suite, and confirm the check is now working correctly.",2022-10-13 13:54:28,2,improper,others,crash,update,checker api,tensor is not empty,tensor storage,,,
pytorch,https://github.com/pytorch/pytorch/commit/75be4f9cdb503d6eff189b2bc5c05d96bff66653," check tensor has storage before refer to tensor data ptr. In the exporter dedupe initializers passes, check the tensor has storage before reference to tensor's data_ptr, otherwise it will result in a crash.",2022-04-26 13:52:45,1,insufficient,others,crash,extend,checker api,tensor is not empty,tensor storage,,,
pytorch,https://github.com/pytorch/pytorch/commit/a3701b674046bcefb5927a6643364b186f77dbcf,"fix backward bug for custom device. In the backward on some device , it may get an error to get device index because of exchange a new thread. So just set_device and check the device index in `setDevice`  func may be better for some many kinds of devices. For CUDA, the device index check is also included in `setDevice`  func",2023-04-10 11:56:38,1,unnecessary,device availability,incorrect functionality,remove,if checker,device is available,device version,,,
pytorch,https://github.com/pytorch/pytorch/commit/6f5945e4bb1258d39a2878a08a910fcc8f659d5e,"triton supports devices < 7.0, not 6.0. triton is still buggy with Pascal devices, so make the error checker reflect that. Also, this < 6.0 never worked, as the `has_triton` definition in utils.py was checking >= 7.0.",2022-12-01 17:01:41,1,improper,device availability,version incompatibility,update,if checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/7c44823a4e0506b2eb7f1aa667ba939ba9d56969,Fix layout/device checks in sparse-dense addmm,2023-02-14 18:23:26,,missing,device availability,incorrect functionality,add,macro checker,device is available,device,,,
pytorch,https://github.com/pytorch/pytorch/commit/871b5caae76185cff141c522b3133e7543c8dabf,"Fix hpu deserialization bug. fix hpu deserialization bug. It should check hpu model if and only if location start with hpu. Otherwise, it always raise an AssertError if hpu is not imported. This break the serialization/desirialization functionality abourt other third-party like IPEX. only assert hpu model when start with hpu",2023-09-18 20:10:51,1,improper,device availability,incorrect functionality,relocate,assertion statement,device is available,IPEX,,,
pytorch,https://github.com/pytorch/pytorch/commit/6592259ea52f45e1fc9a633ccb5b154ba5099334,"As per torch.jit.load documentation, all previously saved modules, irrespective of their device, are first loaded onto CPU, and then are moved to the devices they were saved from. So far, supported devices included CPU and CUDA only. To enable torch.jit.load for HPU, additional check for HPU is introduced.",2022-08-01 5:28:44,,insufficient,device availability,incorrect functionality,extend,if checker,device is available,,,,
pytorch,https://github.com/pytorch/pytorch/commit/1becd2c314f45bded8d3fbec91d785e7190b4afe,"Align checks in _use_cudnn_ctc_loss with those in _cudnn_ctc_loss.This PR is intended to fix the following problem: When using `CTCLoss`, there is a cudnn path gated by a call to [`_use_cudnn_ctc_loss`] which checks some conditions. However, there are more checks in `_cudnn_ctc_loss`.  some of which are not present in `_use_cudnn_ctc_loss` (e.g. the check that `targets` is on CPU which will cause a RuntimeError after dispatching to `_cudnn_ctc_loss`). Instead, these checks should be in `_use_cudnn_ctc_loss` so that the normal `_ctc_loss` path will be used if the checks are not met)",2023-12-12 17:20:20,1,insufficient,device availability,runtime error,extend,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/490f2d75700a806bdc6110e881e78493cde163e3,"Skip privateuse1's checkZeroPoints. We want to use ``quantize_per_channel`` to create a quantized tensor, but we found that ``checkZeroPoints`` for ``privateuse1`` backend failed. ``quantize_tensor_per_channel_affine`` will ``checkZeroPoints`` for all backends expect ``CUDA``:  However, our ``privateuse1`` backend will get a segmentation error if we try to cast our data to int64_t in ``checkZeroPoints``: So if we can skip ``privateuse1``'s ``checkZeroPoints`` and check this item in the actual device function? What do you think?",2023-12-05 23:44:49,1,insufficient,device availability,crash,extend,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/a076a74f1118da171cf70d00d1de4abbe27cf85d, Add xpu device in assertion for nested tensor creation,2023-11-29 0:59:35,1,insufficient,device availability,crash,extend,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/097defb1608827d82b18b27adeec0a98b72a9281,only check when world size > num_devices per host,2023-10-11 23:37:18,1,insufficient,device availability,crash,extend,if checker,device is available,device type,,,
pytorch,https://github.com/pytorch/pytorch/commit/57af1ec14594a73c8f2b73bf70c04ba7efeb6eab,"observers: use torch.all to check for valid min and max values. Using `torch.all` instead of `torch.sum` and length check. It's unclear whether the increase in perf (~5% for small inputs) is real, but should be a net benefit, especially for larger channel inputs.",2020-08-17 20:08:57,1,improper,tensor shape mismatch,performance bug,replace,checker api,tensor dimension is valid,tensor dimension,,,
pytorch,https://github.com/pytorch/pytorch/commit/07f0f383fa23e63eca164036ab58ab983e9437eb,"update tensor-like to check instance for torch function impl. tensor like should check the instance for a torch function impl, not the type",2023-10-11 22:14:38,1,unnecessary,type checking,incorrect functionality,remove,if checker,tensor type is valid,tensor,,,
pytorch,https://github.com/pytorch/pytorch/commit/a33d8133a52c7453958b70facc40bd7448d5d88d,"Slight cleanup of VariableBuilder giant if condition. Some of these changes are semantics preserving, some are not. Please review carefully. * Use `istype(x, y)` over `type(x) is y` * Use istype over isinstance in frozenset. If the user subclassed the type in question, we must treat it as a user defined class as it may have custom behavior * The `isinstance(value, (int, float))` condition for `wrap_unspecialized_primitive` is dead-ish; direct int/float values are caught earlier istype check. Technically however, if you subclassed int/float it would pass through, however this is almost assuredly not intended behavior",2023-02-24 21:23:40,1,improper,type checking,incorrect functionality,replace,checker api,others,tensor type,,,
pytorch,https://github.com/pytorch/pytorch/commit/4e1bd4abe7691f460cb021e5b314168caa42ef92,"Fix scalar type resolution for optional tenso. When TorchScript Value has an optional tensor, `dtype()` or `scalarType()` is not available and raise (by design).  The symbolic `_op_with_optional_float_cast` must check whether the tensor is otpional or not before calling the scalar type resolution API. This PR fixes that",2023-02-09 10:22:02,1,missing,type checking,others,add,type checking api,object type is valid,tensor type,,,
pytorch,https://github.com/pytorch/pytorch/commit/b90db4a78f8d760377a81a5a64d03ab4b67599de,Fix type checking to accept both Iter and Map DataPipe,2022-10-20 1:05:56,1,improper,type checking,incorrect functionality,update,type checking api,object type is valid,object,,,
pytorch,https://github.com/pytorch/pytorch/commit/63cbdc92a750a667ffdcfbdac563d02db6fd9559,switching the exact check to isinstance check. Simplifying a type check if an object is a SymIntNode in `is_symint_node`,2022-08-25 4:28:40,,improper,type checking,runtime error,update,type checking api,object type is valid,,,,
pytorch,https://github.com/pytorch/pytorch/commit/b7d58745c882a66f5c20d2ba05b99ddce7491d38,"remove unneeded isinstance checks in `op_con. vert_before_hook. `isinstance` has some overhead, changing the code in `op_convert_before_hook` to use the information calculate during tracing instead which is cheaper.",2021-11-21 10:08:12,,improper,type checking,performance bug,replace,type checking api,others,tensor operation,,,
pytorch,https://github.com/pytorch/pytorch/commit/6420071b43dc9f2679c22952b5051b0c28f42da2,"Disable complex dispatch on min/max functions. In issue #36377, min/max functions were disabled for complex inputs (via dtype checks). However, min/max kernels are still being compiled and dispatched for complex. The aforementioned dispatch has been disabled & we now rely on errors produced by dispatch macro to not run those ops on complex, instead of doing redundant dtype checks.",2021-01-12 10:55:18,,improper,type checking,runtime error,replace,type checking api,tensor type is valid,,,,
