Library,Advisory Link,Parent Module,API,Anomaly
Pytorch,https://github.com/pytorch/pytorch/issues/85216,torch,torch._mkldnn_transpose,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/85214,torch._C._nn,torch._C._nn.mkldnn_reorder_conv2d_weight,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/85213,torch._C._nn,torch._C._nn.mkldnn_reorder_conv3d_weight,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/85072,torch.jit,torch.jit.wait,None
Pytorch,https://github.com/pytorch/pytorch/issues/84990,torch.futures,torch.futures.collect_all,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/84979,torch.nn.functional,torch.nn.functional.pad generates,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/83585,torch.profiler,torch.profiler.profile,Optional parameter
Pytorch,https://github.com/pytorch/pytorch/issues/83494,torch,torch.pinverse,3*3 tensor
Pytorch,https://github.com/pytorch/pytorch/issues/83328,torch.nn,torch.nn.Conv2d,Unsupported dtype
Pytorch,https://github.com/pytorch/pytorch/issues/83229,torch.nn,torch.nn.MaxUnpool2d,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/83221,torch.nn,torch.nn.MaxUnpool3d,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/83175,torch.nn,torch.nn.GRU,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/83152,torch.nn,torch.nn.functional.fold,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/82635,torch,torch.min,equal input
Pytorch,https://github.com/pytorch/pytorch/issues/82282,torch,torch.matrix_exp,NaN input
Pytorch,https://github.com/pytorch/pytorch/issues/81409,torch._C._nn,torch._C._nn.adaptive_avg_pool2d,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/81195,torch,torch._weight_norm,Dimension mismatch
Pytorch,https://github.com/pytorch/pytorch/issues/80946,torch.nn.functional,torch.nn.functional.linear,Multi-dimensional bias
Pytorch,https://github.com/pytorch/pytorch/issues/80805,torch,torch.einsum,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/80804,torch,torch.renorm,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/80588,torch,torch.baddbmm,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/80488,torch.nn.functional,torch.nn.functional.kl_div,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/78153,torch.nn.utils.rnn,torch.nn.utils.rnn.pack_sequence,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/78131,torch,torch._pad_packed_sequence,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/78130,torch,torch._grid_sampler_2d_cpu_fallback,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/78129,torch,torch._embedding_bag_forward_only,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/78128,torch,torch._C._nn.thnn_conv2d,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/78127,torch,torch._C._nn.reflection_pad2d,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/78126,torch,torch._C._nn.max_unpool3d,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/78125,torch,torch.grid_sampler_3d,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/78123,torch,torch.choose_qparams_optimized,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/78122,torch,torch.bincount,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/77893,torch,torch._remove_batch_dim,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/77493,torch,torch.pow,Same dtype
Pytorch,https://github.com/pytorch/pytorch/issues/77231,torch,torch.scatter_add,Complex tensor
Pytorch,https://github.com/pytorch/pytorch/issues/76778,torch,torch.addmv,Type confusion
Pytorch,https://github.com/pytorch/pytorch/issues/76571,torch,torch.unique,NaN input
Pytorch,https://github.com/pytorch/pytorch/issues/75171,torch,torch.jit.load,ASCII character input
Pytorch,https://github.com/pytorch/pytorch/issues/74809,torch.distributed,torch.distributed.gather,Non-contiguous NumPy array
Pytorch,https://github.com/pytorch/pytorch/issues/73196,torch,torch.pow,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/73191,torch,torch.max_pool3d,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/73190,torch,torch.max_pool1d,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/73186,torch,torch._C._nn.fractional_max_pool3d,Zero element 
Pytorch,https://github.com/pytorch/pytorch/issues/73185,torch,torch._C._nn.fractional_max_pool2d,Zero element 
Pytorch,https://github.com/pytorch/pytorch/issues/73182,torch,torch._sobol_engine_scramble_,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/73181,torch,torch._sobol_engine_initialize_state_,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/73180,torch,torch._sobol_engine_ff_,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/71689,torch.distributions.categorical,torch.distributions.categorical.Categorical,Zero argument
Pytorch,https://github.com/pytorch/pytorch/issues/71678,torch,torch.bmm,Sparse tensor
Pytorch,https://github.com/pytorch/pytorch/issues/71636,torch,torch.median,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/71477,torch,torch.cummin,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/71477,torch,torch.cummax,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/71477,torch,torch.sort,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/71477,torch,torch.argsort,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/71470,torch.jit,torch.jit.script,N.A
Pytorch,https://github.com/pytorch/pytorch/issues/71204,torch,torch.diag,Dimension mismatch
Pytorch,https://github.com/pytorch/pytorch/issues/71204,torch,torch.diagonal,Dimension mismatch
Pytorch,https://github.com/pytorch/pytorch/issues/71082,torch,torch.combinations,Dimension mismatch
Pytorch,https://github.com/pytorch/pytorch/issues/71078,torch,torch.nn.ConstantPad2d,Zero dimensional tensor
Pytorch,https://github.com/pytorch/pytorch/issues/71078,torch,torch.nn.ZeroPad2d,Zero dimensional tensor
Pytorch,https://github.com/pytorch/pytorch/issues/71059,torch,torch.scatter,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/71058,torch,torch.where,Float dtype
Pytorch,https://github.com/pytorch/pytorch/issues/70901,torch,torch.batch_norm_gather_stats_with_counts,Half dtype
Pytorch,https://github.com/pytorch/pytorch/issues/70672,torch,torch.as_strided,N.A
Pytorch,https://github.com/pytorch/pytorch/issues/70398,torch,tensor.expand,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/70398,torch,torch.broadcast_to,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/70397,torch,torch.empty_strided,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/69433,torch,torch.transpose,Zero dimensional tensor
Pytorch,https://github.com/pytorch/pytorch/issues/69408,torch,torch.hstack,Zero dimensional tensor
Pytorch,https://github.com/pytorch/pytorch/issues/68610,torch,torch.unique_consecutive,Positional argument
Pytorch,https://github.com/pytorch/pytorch/issues/67081,torch.utils,torch.utils.dlpack.to_dlpack,Boolean dtype
Pytorch,https://github.com/pytorch/pytorch/issues/65683,torch.nn,torch.nn.functional.l1_loss,Complex dtype
Pytorch,https://github.com/pytorch/pytorch/issues/65400,torch.sparse,torch.sparse.sum,Positional argument specified
Pytorch,https://github.com/pytorch/pytorch/issues/65050,torch,torch.cross,Equal input
Pytorch,https://github.com/pytorch/pytorch/issues/64978,torch,torch.nn.functional.linear,Rank other than 2
Pytorch,https://github.com/pytorch/pytorch/issues/64079,torch,torch.equal,Sparse tensor
Pytorch,https://github.com/pytorch/pytorch/issues/59439,torch.nn.functional,torch.nn.functional.conv2d,NaN input
Pytorch,https://github.com/pytorch/pytorch/issues/54638,torch.jit,torch.jit.trace,Sparse tensor
Pytorch,https://github.com/pytorch/pytorch/issues/54620,torch,torch.pow,Boolean dtype
Pytorch,https://github.com/pytorch/pytorch/issues/54499,torch.nn,torch.nn.MaxPool1d,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/53407,torch,torch.matmul,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/53391,torch,torch.empty_strided,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/53358,torch,torch.cumsum,Boolean dtype
Pytorch,https://github.com/pytorch/pytorch/issues/51911,torch.nn.functional,torch.nn.functional.grid_sample,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/51906,torch.nn.functional,torch.nn.functional.binary_cross_entropy_with_logits,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/51906,torch.nn.functional,torch.nn.functional.binary_cross_entropy_with_logits,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/51803,torch.nn.functional,torch.nn.functional.binary_cross_entropy,Empty input
Pytorch,https://github.com/pytorch/pytorch/issues/51732,torch.nn.functional,torch.nn.functional.ctc_loss,Large negative number
Pytorch,https://github.com/pytorch/pytorch/issues/51134,torch.nn,torch.nn.ReplicationPad3d,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/49520,torch.nn,torch.nn.ReplicationPad2d,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/47610,torch,torch.gather,Dimension mismatch
Pytorch,https://github.com/pytorch/pytorch/issues/46225,torch,torch.mode,NaN input
Pytorch,https://github.com/pytorch/pytorch/issues/43567,torch,torch.svd,NaN input
Pytorch,https://github.com/pytorch/pytorch/issues/43115,torch,torch.multinomial,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/37556,torch,torch.cartesian_prod,Rank other than 1
Pytorch,https://github.com/pytorch/pytorch/issues/29372,torch,torch.std,Scalar tensor
Pytorch,https://github.com/pytorch/pytorch/issues/25648,torch,torch.cat,Negative argument
Pytorch,https://github.com/pytorch/pytorch/issues/24823,torch.nn.functional,torch.nn.functional.grid_sample,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/24823,torch.nn.functional,torch.nn.functional.grid_sample,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/23159,torch,torch.sum,dim >= 64
Pytorch,https://github.com/pytorch/pytorch/issues/23061,torch,torch.einsum,Float16 dtype
Pytorch,https://github.com/pytorch/pytorch/issues/22788,torch,torch.matmul,Float16 dtype
Pytorch,https://github.com/pytorch/pytorch/issues/22105,torch,torch.zeros,Pandas indice
Pytorch,https://github.com/pytorch/pytorch/issues/17897,torch,torch.mv,Very large input argument
Pytorch,https://github.com/pytorch/pytorch/issues/17350,torch.nn,torch.nn.CrossEntropyLoss,mean input
Pytorch,https://github.com/pytorch/pytorch/issues/15728,torch.nn,torch.nn.CrossEntropyLoss,sum input
Pytorch,https://github.com/pytorch/pytorch/issues/7343,torch.autograd,torch.autograd.grad,Invalid argument
Pytorch,https://github.com/pytorch/pytorch/issues/7343,torch.autograd,torch.autograd.grad,Invalid argument
